Date,RIC,Earnings Per Share - Mean
2021-02-18,HOCM.L,0.28967
2021-02-19,HOCM.L,0.293
2021-02-19,VATN.S,7.695
2021-03-01,HOCM.L,0.29522
2021-03-10,PIRC.MI,0.33713
2021-03-10,HOCM.L,0.28967
2021-03-11,PIRC.MI,0.3358
2021-03-11,HOCM.L,0.28411
2021-03-12,PIRC.MI,0.3342
2021-03-15,PIRC.MI,0.33287
2021-03-15,HOCM.L,0.28522
2021-03-19,HOCM.L,0.28411
2021-03-26,HOCM.L,0.26889
2021-03-29,VATN.S,7.76333
2021-03-31,PIRC.MI,0.33353
2021-04-01,PIRC.MI,0.32947
2021-04-06,PIRC.MI,0.3288
2021-04-07,HOCM.L,0.26667
2021-04-08,HOCM.L,0.26222
2021-04-16,PIRC.MI,0.3308
2021-04-16,HOCM.L,0.26556
2021-04-21,HOCM.L,0.26
2021-04-22,HOCM.L,0.25822
2021-04-28,PIRC.MI,0.33307
2021-04-29,VATN.S,7.69525
2021-05-05,PIRC.MI,0.33733
2021-05-07,HOCM.L,0.25711
2021-05-07,VATN.S,7.58525
2021-05-10,PIRC.MI,0.34
2021-05-11,PIRC.MI,0.34133
2021-05-12,PIRC.MI,0.3412
2021-05-12,HOCM.L,0.256
2021-05-12,VATN.S,7.59125
2021-05-13,PIRC.MI,0.34227
2021-05-18,PIRC.MI,0.34107
2021-05-21,HOCM.L,0.25922
2021-06-02,PIRC.MI,0.3424
2021-06-04,HOCM.L,0.26033
2021-06-06,VATN.S,7.59125
2021-06-11,VATN.S,7.6188
2021-06-20,BFT.WA,11.7
2021-06-29,HOCM.L,0.25956
2021-07-01,PIRC.MI,0.34663
2021-07-01,HOCM.L,0.25622
2021-07-05,HOCM.L,0.25289
2021-07-08,HOCM.L,0.25289
2021-07-08,BFT.WA,8.11
2021-07-20,BFT.WA,4.52
2021-07-21,HOCM.L,0.25067
2021-07-22,HOCM.L,0.24511
2021-07-26,HOCM.L,0.22356
2021-07-26,VATN.S,7.6248
2021-07-27,PIRC.MI,0.34319
2021-07-28,PIRC.MI,0.34731
2021-07-28,HOCM.L,0.22244
2021-08-03,HOCM.L,0.22133
2021-08-05,PIRC.MI,0.35044
2021-08-05,VATN.S,7.6648
2021-08-06,PIRC.MI,0.36075
2021-08-06,VATN.S,7.701
2021-08-11,PIRC.MI,0.36088
2021-08-18,PIRC.MI,0.36525
2021-08-18,HOCM.L,0.22022
2021-08-19,HOCM.L,0.20178
2021-08-19,BFT.WA,4.52
